Year,Real_GDP_Ksh,Population_Growth,Female_Labor_Participation,Male_Labor_Participation,Education_Expenditure_Ksh,Inflation,Dollar_Rate,Total_Unemployment,Labor_Total_Population_Ratio,Urban_Population_Growth_Income_Per_Capita_Growth_Ratio
2000,982855,2.92,50.46,46.89,49142906050.06681,9.98,76.17554167,3.13,0.9202286804009756,1.030328048763298
2001,1020111,3.03,50.03,46.87,51541206454.65116,5.73,78.563195,3.07,0.9248186543022596,1.050861962678503
2002,1025583,3.03,49.61,46.84,59496328008.704506,1.97,78.74914167,3.09,0.9237028896168963,1.0551511951792316
2003,1055658,2.97,49.18,46.82,75529084496.42749,9.81,84.1483,3.04,0.921478937938003,1.039265536723164
2004,1109338,2.99,48.76,46.79,81574985206.7115,11.8,80.65011162790698,3.0,0.9189784228639483,1.0433376350879588
2005,1172784,2.98,48.34,46.77,91865043173.11751,9.91,75.56632672064774,2.97,0.9136538111801581,1.0408335899419983
2006,1249470,2.97,47.91,46.75,123380384663.24242,6.03,72.14546330645162,2.94,0.906345557999279,1.0409180079470928
2007,1336849,2.97,47.48,46.72,133076089631.1106,4.27,67.4667651639344,2.92,0.8978615589840275,1.040006401498425
2008,1357262,2.98,47.05,46.71,142542217218.19803,15.11,69.00307113821142,2.98,0.8903128868626761,1.0428439227325403
2009,5361462,2.96,46.62,46.69,152139931006.0044,10.54,77.3395365079365,2.92,0.8855037402689249,1.0009193793801505
2010,5793514,2.82,46.19,46.67,154147209557.1411,4.08,79.26121067193672,2.85,0.8846189455509766,1.0250264174272703
2011,6090206,2.66,45.77,46.65,184706124953.87384,14.02,88.86650079365081,2.86,0.8881694659431003,1.0013370213730888
2012,6368448,2.53,45.35,46.62,221947456796.53265,9.38,84.52289881889769,2.84,0.8945254499297488,1.000501737387212
2013,6610312,2.41,44.92,46.6,244972324686.19623,5.72,86.12591927710847,2.83,0.9032900434324989,0.9741586892601182
2014,6942157,2.29,44.5,46.58,266410020539.19107,6.88,87.92357936507932,2.8,0.9140190678104771,0.9497203222497009
2015,7287024,2.2,44.07,46.56,303229387059.0337,6.58,98.51760369003703,2.77,0.9255829173428174,0.9818593754340694
2016,7594064,2.2,43.64,46.56,364850426067.3296,6.32,101.49771679999995,2.76,0.9376431640828244,1.0
2017,7885521,2.18,43.09,45.22,405590175339.7026,7.99,103.41196240000001,3.52,0.9426659989497553,0.9045884901685921
2018,8330891,2.03,42.54,43.86,448039478569.3302,4.69,101.29860799999994,4.25,0.9487356953842999,0.9574520104404135
2019,8756946,1.98,41.96,42.46,491617294931.33527,5.24,102.01271120000006,5.01,0.9550502616076919,0.9319729408266431
2020,8733060,2.01,41.54,42.07,515054370831.3133,5.29,106.46762648221335,5.62,0.9471155750264089,0.8717932888640582
2021,9395942,1.94,41.61,41.96,226510055956.5042,6.11,109.65094980079684,5.64,0.9755066231834185,0.9741586892601182
2022,9851329,1.91,41.87,42.65,243435396068.22125,7.65,117.84431504065036,5.5,1.0000000000000002,0.9741586892601182
